raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1100,2023,3,1,Australian Grand Prix,2023-04-02,5:00:00,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix,3/31/23,1:30:00,3/31/23,5:00:00,4/1/23,1:30:00,4/1/23,5:00:00,Unknown,Unknown
1101,2023,4,73,Azerbaijan Grand Prix,2023-04-30,11:00:00,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix,4/28/23,9:30:00,4/29/23,9:30:00,Unknown,Unknown,4/28/23,13:00:00,4/29/23,13:30:00
1102,2023,5,79,Miami Grand Prix,2023-05-07,19:30:00,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix,5/5/23,18:00:00,5/5/23,21:30:00,5/6/23,16:30:00,5/6/23,20:00:00,Unknown,Unknown
1104,2023,6,6,Monaco Grand Prix,2023-05-28,13:00:00,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix,5/26/23,11:30:00,5/26/23,15:00:00,5/27/23,10:30:00,5/27/23,14:00:00,Unknown,Unknown
1105,2023,7,4,Spanish Grand Prix,2023-06-04,13:00:00,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix,6/2/23,11:30:00,6/2/23,15:00:00,6/3/23,10:30:00,6/3/23,14:00:00,Unknown,Unknown
1106,2023,8,7,Canadian Grand Prix,2023-06-18,18:00:00,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix,6/16/23,17:30:00,6/16/23,21:00:00,6/17/23,16:30:00,6/17/23,20:00:00,Unknown,Unknown
1107,2023,9,70,Austrian Grand Prix,2023-07-02,13:00:00,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix,6/30/23,11:30:00,7/1/23,10:30:00,Unknown,Unknown,6/30/23,15:00:00,7/1/23,14:30:00
1108,2023,10,9,British Grand Prix,2023-07-09,14:00:00,https://en.wikipedia.org/wiki/2023_British_Grand_Prix,7/7/23,11:30:00,7/7/23,15:00:00,7/8/23,10:30:00,7/8/23,14:00:00,Unknown,Unknown
1109,2023,11,11,Hungarian Grand Prix,2023-07-23,13:00:00,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix,7/21/23,11:30:00,7/21/23,15:00:00,7/22/23,10:30:00,7/22/23,14:00:00,Unknown,Unknown
1110,2023,12,13,Belgian Grand Prix,2023-07-30,13:00:00,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix,7/28/23,11:30:00,7/29/23,10:30:00,Unknown,Unknown,7/28/23,15:00:00,7/29/23,14:30:00
1111,2023,13,39,Dutch Grand Prix,2023-08-27,13:00:00,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix,8/25/23,10:30:00,8/25/23,14:00:00,8/26/23,9:30:00,8/26/23,13:00:00,Unknown,Unknown
1112,2023,14,14,Italian Grand Prix,2023-09-03,13:00:00,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix,9/1/23,11:30:00,9/1/23,15:00:00,9/2/23,10:30:00,9/2/23,14:00:00,Unknown,Unknown
1113,2023,15,15,Singapore Grand Prix,2023-09-17,12:00:00,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix,9/15/23,9:30:00,9/15/23,13:00:00,9/16/23,9:30:00,9/16/23,13:00:00,Unknown,Unknown
